compound,created_at,source,text,user_location,user_name
0.0,Thu May 23 06:59:40 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ECISVEEP: As per latest trends available for all the 542 constituencies, BJP is leading in 292 while INC is leading in 51, DMK in 22, A…",India,Chowkidar Indiangal
0.0516,Thu May 23 06:59:40 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @haarishanw: You could blame all of it on Rahul Gandhi and run away. Or you could now accept the fact that the only aspiration of the ma…,New Delhi,Angshukanta
0.0,Thu May 23 06:59:40 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @airnewsalerts: In Uttar Pradesh, Maneka Gandhi is leading by over 700 votes from Sultanpur.

#ElectionResults2019 | #ResultsWithAIR htt…","Shimla, India",AIR News Shimla
0.0,Thu May 23 06:59:40 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @otvnews: #OdishaLokSabhaTrends: BJD LS candidate from #Bhubaneswar Arup Patnaik leading by 842 votes now #LatestECTrends  

#OdishaVerd…",,Gyanendra Moharana
0.0,Thu May 23 06:59:39 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#MODI
#ElectionResults2019 https://t.co/vbCZDDQPVQ","New Delhi, India",cpkaneria
0.7964,Thu May 23 06:59:40 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ya_jhakaas: BJP winning the elections is the only result in which me and my relatives are equally happy . #ElectionResults2019,"Chandigarh, India",Holier Than Thou
-0.4767,Thu May 23 06:59:40 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Bhopalvoters what's wrong with you guys ....
#ElectionResults2019",MUMBAI INDIA,abhishek ashok doad
0.2247,Thu May 23 06:59:40 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AbhiUpmanyu: My dad is really happy with the election results. Just told him unki beti ka accident ho Gaya hai, kehte koi ni nayi beti…",Indore --- Pune,Mean chhora
-0.0772,Thu May 23 06:59:41 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SirJadeja: ""Rahul Gandhi held rallies in 151 constituencies, he's losing 119 of them. He made sure 4 out of every 5 places he visits he…","Bengaluru, India",Anuj Agarwal
0.0,Thu May 23 06:59:40 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Chanakya of North East @himantabiswa
Speaking to media on Landslide Trending of @BJP4India
#ElectionResults2019… https://t.co/U6bM3ha4pi",,Dhanjit Medhi
0.128,Thu May 23 06:59:41 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I think I finally understand what being a minority in India feels like.. a perpetual feeling of impending doom.. dn… https://t.co/eWgzK09Ti1,,Nitin
-0.0772,Thu May 23 06:59:41 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SirJadeja: ""Rahul Gandhi held rallies in 151 constituencies, he's losing 119 of them. He made sure 4 out of every 5 places he visits he…","Gurgaon, India",hazard
0.4019,Thu May 23 06:59:41 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @NupurSharmaBJP: Early morning duty at the @BJP4India party HQ

#ElectionResults2019
#HarHarMahadev https://t.co/a0M1LzbG3M",,Chowkidar Himanshu Singh
0.0,Thu May 23 06:59:42 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @PTTVOnlineNews: Catch us Live on @PttvOnlineNews today for  #ElectionResults2019 #May23WithPT  | #ElectionsWithPT
 https://t.co/ROWO78k…","Chennai, India",Saravana J
-0.0772,Thu May 23 06:59:42 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @SirJadeja: ""Rahul Gandhi held rallies in 151 constituencies, he's losing 119 of them. He made sure 4 out of every 5 places he visits he…",India,Tushar singla
-0.296,Thu May 23 06:59:42 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","After waiting for long, Congress submits resignation to Rahul.
#ElectionResults2019",,Chinmayas
0.0,Thu May 23 06:59:42 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#ElectionResults2019 #Amethi 

Congress Supporter's Entering @INCIndia https://t.co/MG3drFixJQ","New Delhi, India",Rebellion
0.0,Thu May 23 06:59:43 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @VirusUncle: #ElectionResults2019

Pic 1 : Modi ji from outside 

Pic 2 : Modi ji from inside https://t.co/k6LSiNkOZc",India,Chowkidar Chakrabarty
-0.9231,Thu May 23 06:59:43 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",of the terrorists by the terrorists and for the terrorists  #ElectionResults2019,"From Kozhikode , India",Abdulla Kottappalli
-0.3818,Thu May 23 06:59:43 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @itisprashanth: This EVM hacking bull shit will come to an end now. If they have hacked it, they should have won tamilnadu. MP and MLA t…",India,H.S.Bantiya
0.5267,Thu May 23 06:59:43 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @manakgupta: BJP+ is winning Arunachal Pradesh assembly election too #ElectionResults2019,London   UK,Preriit Souda
0.0,Thu May 23 06:59:44 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MANJULtoons: #LokSabhaElection2019 #loksabhaElections2019results #Amethi #EVMs
My #cartoon for @firstpost
More: https://t.co/d7EQajd4JI…",India,Sudarshan M
0.0,Thu May 23 06:59:44 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Three constituencies in #Kerala crosses one lakh votes majority #ElectionResults2019. I predict three more will touch the mark.,"Kochi,kerala,india",Pramod Thomas
0.8126,Thu May 23 06:59:44 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The beauty of this election. Whoever thought it's their divine right to rule is shown their place in democracy. 

T… https://t.co/1cvkNNOxZJ",,L
0.5859,Thu May 23 06:59:44 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SirJadeja: Gautam Gambhir (BJP)  98,870
Arvinder Singh Lovely (INC) 48,881
Atishi Marlena(AAP)  34,435

#GautamGambhir leading by 64,00…",,Deep Gamit
-0.296,Thu May 23 06:59:44 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @nc24x7: Andhra Pradesh Chief Minister N Chandrababu Naidu is likely to tender his resignation later today - Business Standard

Follow o…",Mumbai,Raj
0.0,Thu May 23 06:59:44 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @KyaUkhaadLega: Early trends.... #ElectionResults2019 https://t.co/9HV7XLZ7kP,Bangalore,@mpr
0.0,Thu May 23 06:59:45 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @IAMGURPREET1991: #ElectionResults2019
#ApnaModiAayega #ModiAaRahaHai https://t.co/yPhBGpQJsm",AMRITSAR,SMILE
0.0,Thu May 23 06:59:45 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Amit Shah's comeback in Karnataka has chased away people managing resort politics to go on vacations!! This is Amit… https://t.co/zOXBxipdPm,Bangalore,Gaurav P
